Public Title of Study,Acne vulgaris,Acute hepatitis,Acute lymphoid leukemia,Acute myeloid leukemia,Age-related and other hearing loss,Age-related macular degeneration,Alcohol use disorders,Alcoholic cardiomyopathy,Alzheimer's disease and other dementias,Anorexia nervosa,Anxiety disorders,Appendicitis,Asbestosis,Ascariasis,Asthma,Atopic dermatitis,Atrial fibrillation and flutter,Attention-deficit/hyperactivity disorder,Autism spectrum disorders,Bacterial skin diseases,Benign prostatic hyperplasia,Bipolar disorder,Bladder cancer,Blindness and vision loss,Brain and central nervous system cancer,Breast cancer,Bulimia nervosa,Cannabis use disorders,Cardiomyopathy and myocarditis,Cardiovascular diseases,Cataract,Cellulitis,Cervical cancer,Chagas disease,Chlamydial infection,Chronic kidney disease,Chronic lymphoid leukemia,Chronic myeloid leukemia,Chronic obstructive pulmonary disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Cocaine use disorders,Colon and rectum cancer,Conduct disorder,Conflict and terrorism,Congenital birth defects,Congenital heart anomalies,Congenital musculoskeletal and limb anomalies,Contact dermatitis,Cutaneous and mucocutaneous leishmaniasis,Cyclist road injuries,Cystic echinococcosis,Cysticercosis,Decubitus ulcer,Dengue,Depressive disorders,Dermatitis,Diabetes and kidney diseases,Diabetes mellitus,Diarrheal diseases,Dietary iron deficiency,Digestive congenital anomalies,Digestive diseases,Diphtheria,Down syndrome,Drowning,Drug use disorders,Dysthymia,Eating disorders,Ebola,Ectopic pregnancy,Edentulism and severe tooth loss,Encephalitis,Endocarditis,"Endocrine, metabolic, blood, and immune disorders",Endometriosis,Enteric infections,Environmental heat and cold exposure,Esophageal cancer,Executions and police conflict,Exposure to forces of nature,Exposure to mechanical forces,Falls,Female infertility,"Fire, heat, and hot substances",Food-borne trematodiases,Foreign body,Foreign body in eyes,Foreign body in other body part,Fungal skin diseases,G6PD deficiency,G6PD trait,Gallbladder and biliary diseases,Gallbladder and biliary tract cancer,Gastritis and duodenitis,Gastroesophageal reflux disease,Genital herpes,Genital prolapse,Glaucoma,Gonococcal infection,Gout,Guinea worm disease,Gynecological diseases,Headache disorders,Hemoglobinopathies and hemolytic anemias,Hemolytic disease and other neonatal jaundice,HIV/AIDS,Hodgkin lymphoma,Hookworm disease,Hypertensive heart disease,Idiopathic developmental intellectual disability,Idiopathic epilepsy,Inflammatory bowel disease,"Inguinal, femoral, and abdominal hernia",Interpersonal violence,Interstitial lung disease and pulmonary sarcoidosis,Intestinal nematode infections,Intracerebral hemorrhage,Invasive Non-typhoidal Salmonella (iNTS),Iodine deficiency,Ischemic heart disease,Ischemic stroke,Kidney cancer,Klinefelter syndrome,Larynx cancer,Leishmaniasis,Leprosy,Leukemia,Lip and oral cavity cancer,Liver cancer,Low back pain,Lymphatic filariasis,Major depressive disorder,Malaria,Male infertility,Malignant skin melanoma,Maternal abortion and miscarriage,Maternal and neonatal disorders,Maternal disorders,Maternal hemorrhage,Maternal hypertensive disorders,Maternal obstructed labor and uterine rupture,Maternal sepsis and other maternal infections,Measles,Meningitis,Mental disorders,Mesothelioma,Migraine,Motor neuron disease,Motor vehicle road injuries,Motorcyclist road injuries,Multiple myeloma,Multiple sclerosis,Musculoskeletal disorders,"Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms",Myocarditis,Nasopharynx cancer,Near vision loss,Neck pain,Neglected tropical diseases and malaria,Neonatal disorders,Neonatal encephalopathy due to birth asphyxia and trauma,Neonatal preterm birth,Neonatal sepsis and other neonatal infections,Neoplasms,Neural tube defects,Neurological disorders,Non-Hodgkin lymphoma,Non-melanoma skin cancer,Non-melanoma skin cancer (basal-cell carcinoma),Non-melanoma skin cancer (squamous-cell carcinoma),Non-rheumatic calcific aortic valve disease,Non-rheumatic degenerative mitral valve disease,Non-rheumatic valvular heart disease,Non-venomous animal contact,Nutritional deficiencies,Onchocerciasis,Opioid use disorders,Oral disorders,Orofacial clefts,Osteoarthritis,Otitis media,Ovarian cancer,Pancreatic cancer,Pancreatitis,Paralytic ileus and intestinal obstruction,Parkinson's disease,Pedestrian road injuries,Peptic ulcer disease,Periodontal diseases,Peripheral artery disease,Pneumoconiosis,Poisonings,Polycystic ovarian syndrome,Premenstrual syndrome,Prostate cancer,Protein-energy malnutrition,Pruritus,Psoriasis,Pulmonary aspiration and foreign body in airway,Pyoderma,Rabies,Refraction disorders,Respiratory infections,Rheumatic heart disease,Rheumatoid arthritis,Road injuries,Scabies,Schistosomiasis,Schizophrenia,Seborrhoeic dermatitis,Sense organ diseases,Sexually transmitted infections excluding HIV,Sickle cell disorders,Sickle cell trait,Silicosis,Skin and subcutaneous diseases,Stomach cancer,Stroke,Subarachnoid hemorrhage,Substance use disorders,Syphilis,Tension-type headache,Testicular cancer,Tetanus,Thalassemias,Thalassemias trait,Thyroid cancer,"Tracheal, bronchus, and lung cancer",Trachoma,Transport injuries,Trichomoniasis,Trichuriasis,Tuberculosis,Turner syndrome,Typhoid and paratyphoid,Unintentional firearm injuries,Unintentional injuries,Upper digestive system diseases,Urinary diseases and male infertility,Urinary tract infections,Urogenital congenital anomalies,Urolithiasis,Urticaria,Uterine cancer,Uterine fibroids,Varicella and herpes zoster,Vascular intestinal disorders,Venomous animal contact,Viral skin diseases,Visceral leishmaniasis,Vitamin A deficiency,Whooping cough,Yellow fever,Zika virus
CLINICAL TRIAL COMPARING ARNI WITH ACE INHIBITORS IN POST SURGICAL PATIENTS WITH LEFT VENTRICULAR DYSFUNCTION BY CLINICAL AND ECHOCARDIOGRAPHIC STUDY,54,53,35,32,41,44,38,50,36,44,41,50,40,40,33,41,49,32,36,43,39,38,36,36,41,38,40,45,37,43,38,50,47,43,50,36,44,38,38,39,36,48,43,44,41,38,38,36,44,39,43,52,38,47,33,35,50,39,41,33,39,43,33,50,31,50,33,56,56,40,41,41,42,58,28,46,44,36,35,43,36,34,40,39,39,33,42,40,39,40,47,40,38,47,42,35,36,44,62,50,25,37,36,39,40,36,38,38,31,35,38,42,35,38,45,39,37,38,32,41,36,40,38,35,38,31,43,38,38,42,54,39,28,57,50,48,45,42,44,42,39,33,40,43,40,44,33,62,35,48,38,26,28,36,32,55,33,38,56,33,44,36,41,40,33,42,41,35,42,31,27,30,34,36,41,38,57,40,43,44,44,42,57,35,50,48,53,42,40,35,40,43,50,44,33,53,37,38,33,38,25,50,40,50,35,44,38,57,33,46,36,40,40,38,53,33,37,43,33,35,30,50,43,53,43,32,44,50,36,50,50,36,58,50,33,35,40,41,32,43,46,45,50,67,43,31,37,45,48,42,36,40,43,33,40
Vedic Chants Intervention program (VCIP) for management of children with Autism,31,33,26,27,24,44,33,37,41,50,41,58,40,30,50,36,42,32,40,39,39,33,43,32,41,31,47,41,23,32,50,40,40,50,40,27,30,25,24,32,27,38,30,38,41,33,42,29,28,34,33,43,31,40,50,40,40,29,40,23,43,40,23,44,38,50,23,33,33,40,28,38,33,33,37,38,50,39,35,43,39,41,20,44,36,38,58,45,42,29,35,40,27,31,38,29,43,56,38,45,50,30,27,31,32,28,62,31,33,24,33,32,28,38,50,39,50,46,39,41,27,43,38,40,38,46,43,25,35,42,38,25,44,43,56,43,36,42,44,42,42,33,47,29,42,44,33,38,50,44,35,38,33,24,25,36,39,44,44,33,31,32,41,40,33,32,27,35,38,31,27,30,32,33,37,46,29,29,27,44,29,55,36,35,33,48,37,33,30,36,32,29,40,33,43,40,41,38,33,36,38,33,45,41,26,40,38,43,33,54,36,21,40,33,42,33,30,43,33,35,26,50,43,41,43,29,20,36,30,50,39,43,50,33,40,35,50,59,15,43,46,39,33,56,50,44,33,41,35,30,41,44,36,33,40
Intrathecal 1% chloroprocaine 50 mg plain versus 1% chloroprocaine 50mg with fentanyl 25 µg for infraumbilcal surgeries,46,40,26,32,35,34,43,29,33,38,41,33,30,30,50,41,39,35,40,36,39,38,43,33,42,31,33,45,37,35,38,40,53,36,45,41,36,33,43,35,37,48,35,31,36,33,38,33,33,24,48,29,38,40,33,42,40,41,42,33,43,37,40,40,38,50,41,33,44,40,29,41,42,35,41,31,44,44,47,33,36,41,40,44,36,38,50,45,42,38,40,50,30,36,38,32,50,50,38,50,25,37,36,41,35,31,50,38,38,35,44,42,35,38,41,41,43,46,26,29,32,33,38,40,38,23,57,25,35,50,54,35,37,43,50,48,45,42,41,37,30,38,40,43,30,50,42,62,40,44,35,31,44,39,34,36,44,40,44,31,41,21,41,42,44,42,37,40,42,33,38,35,35,39,41,42,36,40,43,44,37,35,50,41,33,38,47,46,45,46,36,29,40,33,38,47,26,40,44,40,38,67,39,36,39,40,54,57,27,46,26,40,36,35,47,33,37,50,50,39,36,38,38,41,57,42,39,50,36,62,44,29,33,42,33,30,43,43,31,43,46,35,42,44,50,38,42,38,43,33,36,40,43,50,60
Comparison of total transfusion of blood products given during Liver Transplant surgery when using two different tests (TEG and ROTEM) to guide transfusion,38,33,26,36,38,38,43,29,33,31,41,42,40,50,33,35,42,35,40,48,36,50,50,52,41,38,40,45,37,43,50,30,33,50,40,50,32,38,43,39,40,52,43,44,41,38,35,31,39,41,38,29,31,47,50,45,30,43,35,39,43,40,44,40,38,62,50,22,50,40,35,41,25,42,54,46,44,42,41,40,43,41,40,39,36,38,50,45,35,50,33,40,41,39,42,42,43,44,50,50,50,47,36,44,28,33,62,32,38,42,29,32,35,43,36,37,37,38,39,29,36,40,23,35,38,38,43,25,38,58,54,30,44,57,44,48,45,39,39,27,39,47,31,43,40,56,33,38,40,37,38,31,39,36,25,45,39,56,33,36,39,36,36,38,44,47,45,30,42,36,32,40,34,33,41,42,36,45,43,50,43,25,43,41,42,48,53,42,35,45,40,36,60,37,38,40,41,50,33,38,38,50,45,50,35,40,38,29,33,38,32,40,40,33,41,33,37,36,50,35,43,38,48,35,57,42,50,43,39,38,50,36,42,33,60,39,43,41,42,41,46,39,33,44,43,44,41,45,43,47,36,40,52,42,40
A clinical study comparing two regimens of bowel preparation for colonoscopy,38,40,26,23,44,41,38,46,34,38,29,25,30,30,33,29,39,26,40,35,36,38,36,40,36,46,53,32,33,35,50,50,47,29,45,32,36,29,32,39,36,48,52,38,41,38,38,27,33,37,25,43,38,33,33,35,50,34,41,28,40,30,28,30,46,50,35,40,50,40,41,39,25,33,30,31,44,32,41,43,46,34,40,33,38,50,50,40,48,30,33,40,25,33,42,26,43,50,50,45,50,37,36,28,25,27,25,38,36,35,31,39,42,32,41,31,41,33,32,41,32,40,31,35,31,38,43,25,38,33,46,30,24,57,44,39,37,32,39,37,32,36,36,57,40,44,33,50,40,33,44,31,30,32,34,36,39,50,56,31,33,24,45,33,33,37,36,35,42,31,33,30,31,34,44,29,43,35,43,31,43,42,43,47,50,43,47,38,40,35,40,43,40,34,50,40,44,50,33,38,62,50,55,45,35,37,38,29,40,46,41,35,42,33,35,33,39,36,40,39,39,25,43,35,29,25,33,36,39,38,35,43,25,30,40,39,30,27,37,41,42,32,33,44,36,38,33,38,43,33,36,40,57,33,30
Bioequivalence study Felbamate Tablets 600mg in adult epilepsy patients.,38,67,30,32,26,43,33,38,36,31,35,42,30,30,33,47,39,33,38,48,32,38,36,36,41,38,33,32,37,39,38,40,53,36,50,27,28,33,27,27,26,33,39,44,32,42,41,38,44,29,43,29,31,40,50,35,50,36,42,33,39,38,39,40,31,25,39,44,38,40,35,38,58,42,33,38,33,33,41,33,36,31,40,56,43,42,42,31,39,41,47,50,38,39,46,29,50,38,50,35,25,37,29,33,35,32,38,31,31,35,32,58,38,41,41,37,47,38,33,41,36,33,54,40,46,38,71,38,38,58,54,35,36,43,44,39,33,35,39,42,32,36,42,57,50,38,50,50,30,42,39,50,39,34,28,36,39,31,67,32,39,30,38,41,44,47,36,30,46,31,31,37,26,33,30,42,36,36,36,38,36,50,43,41,50,36,47,38,50,40,40,29,30,30,40,47,48,38,33,32,38,67,30,41,35,45,46,57,27,38,41,35,41,33,47,33,44,36,33,30,48,38,48,35,57,36,33,36,45,38,39,36,42,42,40,35,40,36,39,38,42,39,33,33,57,38,37,39,35,42,36,40,29,33,30
Ultrasonographic Grade of Prostate Protrusion as guide to treatment of prostate enlargement,46,47,30,27,41,38,33,29,38,32,41,47,40,40,33,35,39,35,36,35,39,31,36,36,38,38,40,32,30,35,40,50,36,43,30,32,20,25,41,36,33,38,43,38,41,33,35,31,33,34,29,24,46,40,67,40,30,32,41,33,30,30,33,38,46,27,28,33,38,60,35,38,36,42,30,46,39,42,35,37,46,45,40,39,43,50,42,35,29,35,33,50,41,39,38,29,43,44,38,26,50,47,38,33,35,29,38,38,38,35,35,32,31,30,44,34,33,38,34,29,32,33,46,35,46,23,57,38,31,15,38,42,36,43,31,44,39,39,44,37,35,47,34,29,40,50,33,50,40,45,38,31,33,32,29,27,39,44,33,31,39,38,41,29,44,37,40,35,38,29,29,30,43,47,33,33,36,40,43,38,50,33,36,35,42,40,47,42,40,40,32,29,40,37,48,60,41,62,44,40,25,50,35,41,35,40,31,29,20,31,43,35,30,38,41,33,33,36,50,39,43,43,48,29,43,42,33,36,39,50,44,36,42,42,40,39,37,41,32,32,50,29,33,33,43,44,37,21,39,32,27,30,13,25,40
STUDY TO COMPARE THE EFFECT OF GIVING GROWTH HORMONE IN POOR RESPONDERS DURING IVF,46,38,30,32,38,34,43,33,35,44,41,33,35,30,33,35,29,32,44,23,33,56,29,36,36,38,33,41,37,35,38,30,27,36,45,36,28,33,24,43,33,43,35,38,40,38,42,24,39,27,38,29,35,40,33,45,40,34,35,44,35,40,33,40,46,62,56,44,50,40,35,39,25,33,42,31,50,25,29,33,50,42,20,39,32,46,35,41,42,35,27,40,34,33,42,29,36,38,50,45,50,47,36,44,27,25,38,38,31,31,27,32,35,30,32,27,43,38,39,29,27,33,46,40,38,38,29,38,44,42,31,31,37,43,44,30,33,39,44,26,42,38,37,29,40,50,42,50,45,44,35,33,33,39,23,45,33,38,56,33,44,30,36,37,33,47,41,35,29,24,29,23,23,25,33,39,43,50,50,31,37,33,43,35,42,33,42,42,30,30,32,29,30,37,33,53,41,50,33,34,62,50,46,41,26,33,38,43,27,46,41,35,43,48,35,33,41,43,40,22,55,38,38,35,43,33,33,43,30,50,39,50,33,35,47,41,37,32,34,27,42,32,33,33,57,44,33,39,35,32,32,35,43,33,30
Treatment of tinea (fungal infection) by super-oxidized water,31,40,35,36,35,38,38,33,46,40,41,42,40,30,50,34,42,45,40,39,39,38,36,32,31,54,40,36,32,43,46,30,33,36,65,45,32,33,41,43,26,33,48,44,37,46,31,27,41,34,38,29,38,33,33,37,40,30,35,39,32,37,44,50,38,38,39,33,56,40,41,35,29,38,39,36,61,36,29,47,32,28,40,56,42,46,50,40,35,50,27,50,31,28,44,35,43,31,25,65,25,53,32,44,34,29,38,31,41,42,30,37,35,30,36,26,43,42,34,41,43,40,46,40,38,31,29,25,35,42,38,25,32,43,44,28,43,42,50,46,43,33,38,43,40,44,36,50,40,28,33,31,33,32,26,27,39,44,44,36,56,27,42,38,33,47,45,30,29,33,29,28,28,38,44,33,29,40,43,38,36,36,43,47,50,40,37,44,42,45,28,29,30,30,40,40,44,38,44,30,38,50,35,50,45,40,38,29,20,38,32,40,44,43,53,22,37,36,50,30,39,38,43,41,40,33,39,43,39,50,50,36,25,33,48,35,33,41,32,35,46,26,33,44,50,50,33,45,43,32,32,38,43,33,20
COMPARING TWO DRUGS DEXMEDETOMIDINE AND TRAMADOL IN TREATING SHIVERING PRESENTING AFTER GIVING SPINAL ANESTHESIA,46,40,43,41,47,34,33,33,38,44,41,50,60,50,50,41,45,35,44,39,36,44,50,44,36,40,40,32,31,35,38,40,40,43,46,45,36,33,35,39,33,43,48,38,40,46,42,40,44,44,33,43,38,33,50,45,50,36,35,39,39,47,44,50,31,50,50,56,56,40,41,44,42,42,35,38,44,33,47,43,36,34,40,39,43,42,42,45,42,50,33,50,41,39,38,35,50,50,62,37,25,44,41,33,35,38,62,38,38,31,36,37,36,41,41,37,47,42,42,41,32,33,54,40,46,38,43,50,46,50,54,30,40,57,31,34,39,39,39,32,39,36,44,43,60,44,58,62,40,33,27,31,39,28,28,36,44,39,44,49,44,32,41,40,44,37,32,35,38,36,35,30,32,25,37,42,36,40,43,31,43,42,43,47,50,43,47,38,40,35,40,29,40,41,43,40,44,38,33,36,38,33,46,41,30,50,38,43,33,38,38,45,47,29,47,44,37,43,50,43,30,50,38,53,57,42,44,43,45,62,39,29,25,33,33,48,40,45,39,38,46,39,33,44,43,38,41,48,35,47,36,40,43,42,40
Using econazole to attempt to shorten the duration of treatment in MDR tuberculosis.,38,47,28,28,41,41,38,25,36,38,41,33,60,40,50,53,35,38,32,43,32,38,29,52,36,46,33,36,30,31,38,50,27,29,40,41,36,42,22,29,31,43,35,38,45,42,38,29,39,33,33,33,62,47,40,34,50,33,35,28,35,37,28,30,46,38,37,33,44,40,41,38,42,33,37,46,39,36,35,40,36,41,40,39,39,58,50,35,42,35,33,50,30,28,33,26,50,31,38,30,40,36,36,28,30,33,50,38,31,31,28,37,38,30,45,33,33,33,29,35,32,26,31,30,31,31,43,38,27,33,46,36,32,29,38,48,42,35,44,47,39,35,36,29,40,44,42,38,30,33,31,38,39,30,29,36,33,59,56,31,44,36,41,42,44,42,32,35,33,18,27,21,28,25,44,38,43,34,26,31,33,33,36,35,42,36,42,29,35,40,32,43,60,37,29,33,44,50,44,43,50,50,35,36,35,35,38,43,33,46,38,40,36,40,41,56,40,36,50,43,31,38,48,41,43,33,44,36,33,50,39,50,58,100,53,35,37,36,23,35,42,35,50,44,43,48,33,31,43,42,32,30,43,33,44
Assessment of Red Ginseng mouthwash against dental tartar and gum bleeding,38,33,22,23,41,34,29,29,46,44,29,33,50,40,50,35,32,30,30,39,39,31,43,44,44,46,33,27,35,30,53,30,27,57,40,36,36,33,32,36,33,38,35,44,41,46,46,47,33,22,38,24,23,33,50,40,40,46,29,50,30,43,50,40,38,50,44,33,38,20,35,38,50,45,41,33,44,42,41,37,29,34,40,39,32,43,42,30,42,45,40,53,47,28,38,32,50,56,38,45,75,37,32,33,35,31,50,38,31,36,37,32,37,46,41,39,40,38,37,41,33,33,31,40,31,31,29,50,31,25,31,25,32,43,36,30,39,39,39,26,32,36,33,43,40,50,42,50,35,41,38,38,33,32,27,36,33,31,33,38,44,38,41,36,44,37,32,35,33,25,33,20,34,34,41,33,29,40,43,38,43,33,36,35,36,33,42,33,32,45,27,29,40,24,43,33,37,27,33,38,38,50,39,36,36,32,31,43,40,46,32,50,38,24,35,22,47,36,33,35,39,25,33,35,43,58,44,30,36,40,42,36,33,33,33,30,37,36,39,49,33,45,50,57,36,38,33,38,43,37,36,40,29,25,40
COMPARISION OF STRENGTH AND STAMINA OF NECK MUSCLES OF PATIENTS WITH NECK PAIN AND HEALTHY INDIVIDUALS,46,53,35,41,38,41,52,25,41,38,41,35,40,60,50,41,42,32,36,43,32,44,50,52,38,33,40,36,57,39,38,30,40,43,35,45,32,33,30,36,36,38,52,38,41,32,46,47,44,44,33,29,31,27,50,30,50,43,47,44,35,40,39,40,46,38,44,56,38,40,35,41,43,35,30,33,44,39,47,43,46,41,60,44,39,46,33,35,26,40,33,40,34,33,50,34,43,38,50,45,50,42,45,44,45,42,50,38,38,46,29,42,35,49,41,39,50,33,41,35,45,53,38,35,38,31,43,38,50,33,54,45,28,57,44,48,45,42,39,37,32,38,47,71,50,44,42,38,40,30,38,38,39,44,37,45,39,50,67,38,39,30,29,37,33,37,41,35,46,27,35,35,35,39,41,38,36,40,36,44,52,42,50,41,58,43,42,46,40,40,36,21,50,41,38,40,48,50,56,40,25,50,30,35,43,40,38,57,47,38,36,45,38,48,41,33,47,43,67,30,35,38,43,41,43,50,50,43,36,38,39,31,33,25,40,42,37,41,35,41,54,39,33,44,36,44,48,41,35,47,32,55,45,27,50
Social cognition in Marital Quality amongst patients,38,53,29,32,35,50,43,29,25,31,45,50,40,40,33,47,42,45,37,30,39,31,29,28,39,46,36,32,37,35,38,40,33,36,35,36,28,29,41,39,36,33,39,44,50,50,54,42,44,31,43,33,38,40,33,31,50,25,53,39,35,47,33,40,38,38,22,44,38,40,35,38,50,33,30,31,39,47,39,43,30,38,40,39,32,38,42,40,45,50,27,40,36,34,50,26,50,50,38,45,50,32,27,25,38,31,38,44,22,42,41,37,35,41,41,35,50,33,34,35,36,27,38,38,31,42,29,25,46,33,54,50,32,71,45,39,52,45,44,42,32,32,53,33,40,44,33,38,25,30,35,34,44,28,34,36,33,50,56,31,39,29,50,48,29,42,33,35,29,31,33,33,30,37,44,38,43,25,36,57,50,50,43,41,50,33,47,33,40,35,37,43,40,41,48,47,44,50,50,30,38,50,25,45,39,35,46,57,43,38,41,35,39,35,35,44,33,37,50,22,26,38,43,35,57,42,50,29,33,38,33,31,36,33,33,35,37,45,29,38,42,45,50,56,36,38,31,45,39,42,36,40,43,25,40
A study to check results in patients having epilepsy when treated with the Vagal Nerve Stimulation (VNS)Therapy System,46,53,35,36,47,44,32,29,38,50,41,36,50,30,50,47,42,40,44,39,43,38,29,40,38,46,47,36,33,30,38,50,40,43,35,36,32,33,32,36,24,38,43,31,36,33,35,27,44,32,43,33,31,47,33,35,50,27,36,39,39,37,44,60,38,38,39,56,44,40,41,38,50,42,33,38,39,36,41,40,32,34,40,44,39,38,42,40,45,45,33,50,31,36,32,34,50,38,38,40,25,37,28,28,40,36,38,38,38,42,31,58,31,33,41,33,40,46,37,41,36,40,46,40,46,31,71,38,42,42,46,35,32,57,38,26,36,45,44,42,35,36,42,43,42,38,42,38,35,37,35,44,50,32,40,45,39,50,67,33,39,39,36,36,44,47,36,35,38,33,35,33,39,31,34,42,31,30,36,38,43,42,50,47,50,38,37,38,45,40,36,31,40,33,38,53,44,38,33,36,50,33,40,45,30,50,38,57,29,38,41,35,44,33,47,33,40,43,50,30,39,50,38,47,43,33,44,43,36,38,39,21,25,33,53,30,37,41,45,32,42,35,33,44,50,31,41,38,37,42,41,45,36,42,40
Assessment of oral health needs and to make a oral health education braille tool for blind children,31,40,35,36,38,53,33,21,46,44,35,50,50,40,67,35,45,40,40,39,32,31,43,44,44,38,47,41,43,30,38,30,53,29,40,36,36,33,27,36,38,48,43,50,36,38,42,34,28,34,43,33,31,33,33,35,40,46,47,44,35,33,28,50,38,38,28,44,56,44,35,47,42,58,33,38,44,50,53,43,36,38,40,39,57,42,50,40,35,45,33,50,44,36,38,35,29,38,38,35,25,47,36,50,40,38,50,38,38,42,35,37,32,43,41,33,47,42,44,41,41,33,46,35,38,38,29,38,50,42,31,35,36,43,44,30,36,42,33,42,42,33,42,43,50,56,50,50,35,38,35,38,39,28,29,36,39,31,33,44,39,43,41,42,33,37,32,40,29,31,29,40,36,42,36,42,36,30,57,44,36,42,43,35,42,50,47,38,40,45,36,29,30,33,48,40,44,25,33,40,38,67,40,41,43,40,46,43,27,46,41,40,40,33,35,33,50,43,33,35,35,38,38,38,43,50,44,43,36,50,44,36,42,33,33,39,33,41,29,51,38,42,33,33,43,38,41,34,40,47,45,40,32,42,30
Patients™ comfort during Flexible Bronchoscopy,38,55,18,18,38,32,33,33,26,39,39,53,30,22,33,41,46,26,25,28,32,38,38,30,30,38,33,23,35,35,38,40,27,29,40,32,30,35,32,39,31,29,35,44,37,38,35,26,44,27,38,38,36,33,50,33,60,26,33,28,31,33,44,30,31,62,44,22,44,60,38,26,50,50,34,47,36,28,29,42,36,28,20,44,41,37,50,45,52,30,33,40,29,29,29,25,42,50,38,40,25,32,23,22,27,17,40,38,31,40,25,42,35,35,28,27,35,31,14,30,32,27,23,30,23,38,31,38,19,25,54,41,29,29,31,32,38,38,40,38,33,28,22,29,40,39,33,50,25,23,21,38,34,32,27,45,33,31,67,30,28,32,36,20,33,26,36,35,33,19,25,36,16,31,30,30,50,30,43,27,43,52,43,41,52,35,47,33,40,41,40,36,30,31,28,40,19,50,33,38,50,50,37,37,35,30,38,57,33,38,38,31,24,33,48,33,23,29,33,30,30,25,39,24,57,25,28,29,48,50,33,36,33,42,40,34,41,42,29,22,46,32,35,33,50,50,30,39,30,32,22,31,43,25,30
"A study to identify the effect of foot massage in reducing nausea and vomiting among newly diagnosed patients undergoing chemotherapy in RCC, JIPMER.",38,47,39,36,53,44,33,33,41,44,47,42,30,40,50,41,35,38,40,43,43,44,29,36,38,46,40,36,37,35,38,30,40,43,45,41,36,33,38,36,29,43,43,31,45,38,38,31,44,29,33,33,38,40,50,40,42,39,41,39,35,40,44,60,46,50,39,44,44,40,47,38,33,42,39,42,44,36,47,43,39,34,40,44,39,42,42,50,45,40,40,40,41,33,42,32,43,38,38,45,50,42,41,33,40,27,38,38,38,42,38,47,38,46,36,33,43,46,29,47,32,33,46,35,31,31,29,25,46,33,54,45,36,43,44,39,55,48,50,42,32,40,33,57,50,50,50,57,40,37,35,38,39,32,24,36,44,44,44,44,39,34,36,31,33,42,36,35,38,33,31,37,36,36,41,39,43,40,36,44,36,42,43,47,42,31,42,29,45,40,44,29,50,37,38,47,44,25,44,45,50,50,50,41,43,35,38,57,33,31,36,45,37,33,35,33,37,36,33,43,48,38,33,35,57,42,39,36,42,38,33,29,25,50,53,37,33,36,39,35,46,26,38,44,43,44,48,35,43,37,41,55,36,33,30
Stoppage of antibiotics at clinical improvement in pediatric cancer patients with high risk febrile neutropenia “ A randomized clinical study,54,53,35,36,38,26,38,42,38,38,47,42,40,40,40,35,35,38,40,43,36,38,57,28,46,69,40,36,37,30,50,50,80,36,35,41,36,33,35,36,32,38,61,38,32,42,35,25,44,19,43,38,46,40,33,35,50,32,35,39,39,33,31,60,31,50,22,50,44,60,35,30,50,42,32,62,50,39,53,23,36,45,40,44,36,38,38,30,42,35,47,40,28,47,38,42,43,50,38,50,50,37,50,22,32,33,50,44,31,35,38,42,38,30,36,31,40,38,26,41,36,47,69,40,69,38,43,38,54,75,62,40,32,43,50,30,45,29,28,37,27,35,25,43,50,44,33,50,45,41,38,38,39,24,27,36,50,31,56,33,39,22,41,25,44,47,45,35,42,51,40,44,40,39,37,42,50,40,43,38,29,42,57,59,50,39,47,54,50,45,44,50,30,37,48,53,44,38,33,38,38,50,35,50,35,35,46,57,33,46,45,40,31,43,47,33,37,57,67,38,43,38,43,59,57,29,20,57,48,50,44,50,50,29,47,26,43,36,27,31,42,35,33,44,64,50,37,45,43,37,32,38,36,33,40
Comparison of the effect of applying a small puncture on dura with a thin needle and proceeding to routine labor epidural with just routine labor epidural on the onset and duration of labor analgesia,38,47,35,32,47,50,38,29,38,50,41,42,40,50,50,41,48,38,32,43,29,56,43,52,44,38,47,36,30,30,38,30,40,36,40,32,36,33,35,43,33,43,43,50,41,38,35,32,44,32,43,38,38,33,33,40,50,36,29,39,35,37,44,40,46,38,39,33,50,60,47,38,33,42,35,46,33,42,41,43,50,45,60,39,36,33,42,40,42,35,33,40,31,31,38,32,43,44,62,40,75,42,32,39,45,40,38,31,31,38,33,47,35,43,36,35,37,33,37,35,41,40,46,35,54,31,43,25,42,42,46,40,44,43,62,39,39,39,44,32,32,47,42,43,30,44,42,50,35,41,31,44,39,28,37,45,39,44,44,38,44,32,32,42,44,68,36,32,38,40,40,42,36,39,41,38,29,45,43,44,36,50,43,41,42,40,53,33,35,40,44,36,50,37,33,47,41,38,44,36,50,50,50,50,35,40,54,29,40,31,41,35,47,30,47,44,33,43,50,39,35,38,48,41,29,33,39,50,39,38,39,36,42,50,33,30,40,45,39,38,54,36,42,44,64,44,37,38,35,37,27,40,36,33,40
